Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/AVision/Adventure Game Vision Manuals DB/Defender_-_1982_-_Entex_Industries_Inc.pdf,https://archive.org/download/mister-manuals-db-poc2/AVision/Adventure%20Game%20Vision%20Manuals%20DB/Defender_-_1982_-_Entex_Industries_Inc.pdf,292332,03d2e7a596fbb9da191fb080bdad299a,AVision,,AVision
docs/AVision/Adventure Game Vision Manuals DB/Space_Force_-_1982_-_Entex_Industries_Inc.pdf,https://archive.org/download/mister-manuals-db-poc2/AVision/Adventure%20Game%20Vision%20Manuals%20DB/Space_Force_-_1982_-_Entex_Industries_Inc.pdf,315409,f04ade40861357b74bfd87a563695d19,AVision,,AVision
docs/AVision/Adventure Game Vision Manuals DB/Super_Cobra_-_1982_-_Entex_Industries_Inc.pdf,https://archive.org/download/mister-manuals-db-poc2/AVision/Adventure%20Game%20Vision%20Manuals%20DB/Super_Cobra_-_1982_-_Entex_Industries_Inc.pdf,348985,983bb8425e4f3801f556e2514abc6332,AVision,,AVision
docs/AVision/Adventure Game Vision Manuals DB/Turtles_-_1982_-_Entex_Industries_Inc.pdf,https://archive.org/download/mister-manuals-db-poc2/AVision/Adventure%20Game%20Vision%20Manuals%20DB/Turtles_-_1982_-_Entex_Industries_Inc.pdf,387422,38d8cf8b12a232750f5b5dba4895eb51,AVision,,AVision
docs/AcornAtom/Acorn Atom Game Manuals DB/AtomCalc_-_1982_-_Acornsoft.pdf,https://archive.org/download/mister-manuals-db-poc2/AcornAtom/Acorn%20Atom%20Game%20Manuals%20DB/AtomCalc_-_1982_-_Acornsoft.pdf,3604899,8e67b5e0494dfbd122c1cddf45fc9857,AcornAtom,,AcornAtom
docs/Astrocade/Bally Astrocade Game Manuals DB/280zzap_-_1977_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/280zzap_-_1977_-_Bally_Mfg._Corp.pdf,368172,feca78161399661d0f4b2c12f37472c2,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Amazing_Maze_-_1979_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Amazing_Maze_-_1979_-_Bally_Mfg._Corp.pdf,419817,0c389e505a13892a0e2e03dc690c8352,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Artillery_Duel_-_1982_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Artillery_Duel_-_1982_-_Bally_Mfg._Corp.pdf,1897953,0cae710fac79e4306e0005b64bfc6948,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Astro_Battle_-_1978_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Astro_Battle_-_1978_-_Bally_Mfg._Corp.pdf,294789,64650f43405685bbe97648a298f963a1,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Bally_Pin_-_1977_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Bally_Pin_-_1977_-_Bally_Mfg._Corp.pdf,441229,dd0f8c7d8cd3fd14e8a0eb20fb70c290,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Football_-_1978_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Football_-_1978_-_Bally_Mfg._Corp.pdf,367667,a2d5f1987d1a7131f28faa145e3106dc,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Missile_-_1978_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Missile_-_1978_-_Bally_Mfg._Corp.pdf,353236,8823faa854507e5e0da96d817d5aa1cd,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Pirate-s_Chase.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Pirate-s_Chase.pdf,1052359,7d1a429b1129956ab6abf431bf98b15c,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Seawolf_-_1977_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Seawolf_-_1977_-_Bally_Mfg._Corp.pdf,353235,366ce8328b9d4a36a5663f3cc149279d,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Solar_Conqueror_-_1983_-_Astrocade_Inc..pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Solar_Conqueror_-_1983_-_Astrocade_Inc..pdf,1031706,8fe1b047a4ee0d62203055c905656c9b,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Space_Fortress_-_1981_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Space_Fortress_-_1981_-_Bally_Mfg._Corp.pdf,559449,c7cbf4cae046bfc112bf79e83449bbef,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Star_Battle_-_1977_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Star_Battle_-_1977_-_Bally_Mfg._Corp.pdf,230385,c41f6a38a760effe34c6da7020880d46,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Treasure_Cove.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Treasure_Cove.pdf,839197,c0e3dc8b67131783f37d561818113f13,Astrocade,,Astrocade
docs/Astrocade/Bally Astrocade Game Manuals DB/Wizard_of_Wor_-_1982_-_Bally_Mfg._Corp.pdf,https://archive.org/download/mister-manuals-db-poc2/Astrocade/Bally%20Astrocade%20Game%20Manuals%20DB/Wizard_of_Wor_-_1982_-_Bally_Mfg._Corp.pdf,691014,5387841c2e3b675cb087c0bcfbb713f7,Astrocade,,Astrocade
